corpus,qid,label,count,lat,lon
cs,Q189059,Mytilene,8,39.1047,26.5536
cs,Q773312,Třeboň,8,49.003709466138,14.770659141428
cs,Q1735,Innsbruck,8,47.268333333333,11.393333333333
cs,Q2340939,Jelení příkop,8,50.0918,14.4005
cs,Q234,Flanders,8,51,4.5
cs,Q72391,Kundratice,8,49.402621574278,16.134185443108
cs,Q1012752,Wambierzyce,8,50.489166666667,16.456111111111
cs,Q10861581,Zvičina,8,50.4547,15.6958
cs,Q522862,Karnak Temple Complex,8,25.71874,32.6574
cs,Q546,Trieste,8,45.65027777777778,13.770277777777778
cs,Q2499127,Braník,8,50.0365,14.4112
cs,Q2662391,Morač,8,52.5772,27.5872
cs,Q213462,Piave,8,45.529444444444,12.7275
